vid,utter_id_x,emotion,C-E1,C-E2,C-E4,sentence,utter_id_y,label,Valence,Arousal,Dominance
Ses01M_impro05,Ses01M_impro05_F000,neu,Frustration,Neutral,Neutral,Can I help you?,0,2,3.0,3.0,3.0
Ses01M_impro05,Ses01M_impro05_M000,fru,Neutral,Frustration,Frustration,"Yes, please help me.  Where is my bag?",1,5,1.5,3.5,4.5
Ses01M_impro05,Ses01M_impro05_F001,neu,Anger,Neutral,Neutral,I need a little more information.,2,2,3.0,2.5,3.5
Ses01M_impro05,Ses01M_impro05_M001,fru,Frustration,Anger,Frustration,"Where is my bag?  Come on, I've been here for four hours.",3,5,1.5,4.0,4.5
Ses01M_impro05,Ses01M_impro05_F002,neu,Anger,Neutral,Neutral,What- What flight did you come in on?,4,2,3.0,2.5,3.5
Ses01M_impro05,Ses01M_impro05_M002,fru,Frustration,Frustration,Frustration,"Okay, I'm coming in from Atlanta.",5,5,1.0,4.0,4.5
Ses01M_impro05,Ses01M_impro05_F003,neu,Anger,Neutral,Neutral,Georgia?,6,2,3.0,3.5,2.5
Ses01M_impro05,Ses01M_impro05_F004,neu,Anger,Neutral,Neutral,"There's no need for you to raise your voice, sir.",7,2,3.0,3.0,3.5
Ses01M_impro05,Ses01M_impro05_F005,neu,Anger,Neutral,Neutral,I've been college educated.,8,2,2.5,2.5,3.0
Ses01M_impro05,Ses01M_impro05_F006,neu,Anger,Neutral,Neutral,I speak your language.,9,2,2.5,2.5,3.0
Ses01M_impro05,Ses01M_impro05_M004,ang,Anger,Anger,Anger,Are you insinuating that I don't have a college education and that- for some reason that makes you a better person than I am?,10,3,1.5,4.0,4.5
Ses01M_impro05,Ses01M_impro05_M005,ang,Anger,Anger,Anger,"Listen, shut your smug mouth, okay?  I don't need that.",11,3,1.0,4.5,5.0
Ses01M_impro05,Ses01M_impro05_F007,neu,Anger,Neutral,Neutral,I'm just saying you don't need to talk to me like I-,12,2,2.5,2.0,3.0
Ses01M_impro05,Ses01M_impro05_M006,ang,Anger,Anger,Anger,I've been sitting here for four hours.,13,3,1.0,4.5,5.0
Ses01M_impro05,Ses01M_impro05_F008,fru,Frustration,Frustration,Neutral,I'm not a child.,14,5,2.0,2.5,3.5
Ses01M_impro05,Ses01M_impro05_M007,ang,Anger,Anger,Anger,You people have just been tossing me around like a used hanky.,15,3,1.0,4.5,4.5
Ses01M_impro05,Ses01M_impro05_M008,ang,Frustration,Anger,Anger,You work here.,16,3,1.0,4.0,5.0
Ses01M_impro05,Ses01M_impro05_F011,neu,Anger,Neutral,Neutral,"Details, Details.  Well, anyhow can I--",17,2,3.5,3.0,3.5
Ses01M_impro05,Ses01M_impro05_F012,neu,Anger,Neutral,Neutral,so you flew in from Atlanta...,18,2,3.0,3.5,3.5
Ses01M_impro05,Ses01M_impro05_M009,fru,Frustration,Frustration,Anger,My bag from Atlanta.,19,5,1.5,3.0,4.0
Ses01M_impro05,Ses01M_impro05_F013,neu,Anger,Neutral,Neutral,Four...Four hours ago.,20,2,3.0,2.5,3.5
Ses01M_impro05,Ses01M_impro05_M010,fru,Frustration,Frustration,Frustration,It's a little black bag with wheels.,21,5,1.5,4.0,4.5
Ses01M_impro05,Ses01M_impro05_F014,neu,Anger,Neutral,Neutral,Do you have any i-?,22,2,3.0,2.5,3.0
Ses01M_impro05,Ses01M_impro05_F015,neu,Anger,Neutral,Neutral,I wouldn't let you?   I was not in Atlanta. I was not in Atlanta.,23,2,2.5,3.5,4.0
Ses01M_impro05,Ses01M_impro05_F016,neu,Frustration,Neutral,Neutral,I had nothing to do with the boarding attendance.  I'm sorry that your seat was wherever it was.,24,2,2.5,3.0,4.0
Ses01M_impro05,Ses01M_impro05_F017,neu,Frustration,Neutral,Neutral,"I have some unfortunate news, uh, that your bag isn't going to be--",25,2,2.5,3.0,3.0
Ses01M_impro05,Ses01M_impro05_F018,neu,Sadness,Neutral,Neutral,--arriving any time soon.,26,2,3.0,3.0,3.5
Ses01M_impro05,Ses01M_impro05_F019,neu,Anger,Neutral,Neutral,I'm really sorry to tell you this but...,27,2,2.0,4.0,4.0
Ses01M_impro05,Ses01M_impro05_M015,neu,Neutral,Neutral,Anger,Okay.,28,2,2.5,2.0,3.0
Ses01M_impro05,Ses01M_impro05_F020,neu,Anger,Neutral,Neutral,It's not.  I can offer you fifty dollars and a reimbursement gift cards for our airline...,29,2,3.5,3.5,4.0
Ses01M_impro05,Ses01M_impro05_F021,neu,Anger,Neutral,Neutral,...and your future...,30,2,3.0,2.5,3.0
Ses01M_impro05,Ses01M_impro05_F022,neu,Anger,Neutral,Neutral,No.,31,2,3.0,2.5,3.0
Ses01M_impro05,Ses01M_impro05_F022,neu,Anger,Neutral,Neutral,No.,49,2,3.0,2.5,3.0
Ses01M_impro05,Ses01M_impro05_F023,neu,Anger,Neutral,Neutral,Yes.,32,2,3.0,2.5,3.0
Ses01M_impro05,Ses01M_impro05_M018,fru,Frustration,Frustration,Anger,Where is it?  Where did it go?,33,5,2.0,3.5,3.5
Ses01M_impro05,Ses01M_impro05_F024,neu,Anger,Neutral,Neutral,We've actually...,34,2,3.0,3.0,3.5
Ses01M_impro05,Ses01M_impro05_F025,neu,Anger,Neutral,Neutral,They do as matter of fact.  We don't like to publicize it because,35,2,3.0,3.0,3.0
Ses01M_impro05,Ses01M_impro05_F026,neu,Anger,Neutral,Neutral,people wouldn't Fly our airline.,36,2,3.0,2.0,3.0
Ses01M_impro05,Ses01M_impro05_M020,ang,Frustration,Anger,Anger,Probably people that work for your company huh?,37,3,2.0,3.0,3.5
Ses01M_impro05,Ses01M_impro05_M021,ang,Frustration,Anger,Anger,Do you know what was in that little bag that I could have just easily put in overhead compartment but no I had to check?,38,3,1.5,4.0,4.5
Ses01M_impro05,Ses01M_impro05_F027,neu,Anger,Neutral,Neutral,What was that?,39,2,3.0,2.5,2.5
Ses01M_impro05,Ses01M_impro05_M022,ang,Frustration,Anger,Anger,My computer which has all of my data which I'm collecting right now.,40,3,1.5,4.0,4.5
Ses01M_impro05,Ses01M_impro05_F028,neu,Anger,Neutral,Neutral,That's unfortunate.,41,2,2.5,2.0,3.0
Ses01M_impro05,Ses01M_impro05_M023,ang,Anger,Anger,Anger,Yeah it's really unfortunate you know why because I'm going to get fired if I don't get that.  So I need to have that back.,42,3,1.0,3.5,5.0
Ses01M_impro05,Ses01M_impro05_F029,neu,Anger,Neutral,Neutral,That's too bad.,43,2,2.5,2.5,2.5
Ses01M_impro05,Ses01M_impro05_M024,ang,Frustration,Anger,Anger,"Fifty dollars is not going to cover me for my job, okay?",44,3,1.5,4.0,4.5
Ses01M_impro05,Ses01M_impro05_F030,neu,Anger,Neutral,Neutral,I wish I could give it to you.,45,2,2.5,2.5,3.5
Ses01M_impro05,Ses01M_impro05_M025,ang,Frustration,Anger,Anger,Well you need to find it. Can I just go back there and look through the bags?  Can I just go back there and just go through maybe I'll find it.,46,3,2.0,4.5,4.0
Ses01M_impro05,Ses01M_impro05_F031,neu,Anger,Neutral,Neutral,I wish I-,47,2,2.5,3.0,2.5
Ses01M_impro05,Ses01M_impro05_F032,neu,Anger,Neutral,Neutral,That's not - no.,48,2,2.0,2.5,3.5
Ses01M_impro05,Ses01M_impro05_M026,ang,Frustration,Anger,Anger,It'll be a lot more than what you're doing sitting here and just give me lip service.  I'd like to go back at least do some aggressive searching for my stuff.,50,3,1.5,5.0,4.5
Ses01M_impro05,Ses01M_impro05_F034,neu,Anger,Neutral,Neutral,We have plenty of aggressive searching going on it's not there.  Someone's taken it.,51,2,2.0,3.5,3.5
Ses01M_impro05,Ses01M_impro05_M027,ang,Frustration,Anger,Anger,"Sure, yeah right you have plenty of aggressive searching going on, aggressive searching, drinking coffee and smoking cigarettes.",52,3,1.5,4.0,4.0
Ses01M_impro05,Ses01M_impro05_M028,ang,Anger,Anger,Anger,I know what you guys do when you're not working you're union people   you just sit around on your ass.,53,3,1.5,4.5,4.5
Ses01M_impro05,Ses01M_impro05_F035,fru,Frustration,Frustration,Neutral,You know I don't need to take this sort of abuse.,54,5,2.5,2.5,3.5
Ses01M_impro05,Ses01M_impro05_M030,fru,Frustration,Frustration,Anger,[BREATHING],55,5,1.5,2.5,3.0
Ses01M_impro05,Ses01M_impro05_M031,ang,Anger,Anger,Anger,Thank you very much.,56,3,1.0,5.0,4.5
Ses01F_script02_1,Ses01F_script02_1_F000,neu,,Neutral,Neutral,Fine.,0,2,2.5,2.0,2.0
Ses01F_script02_1,Ses01F_script02_1_M002,exc,,Excited,Excited,"Okay.  Is that, is that--",1,4,3.5,4.5,2.5
Ses01F_script02_1,Ses01F_script02_1_F001,fru,,Frustration,Neutral,[BREATHING],2,5,2.5,2.0,2.5
Ses01F_script02_1,Ses01F_script02_1_M007,neu,,Neutral,Neutral,"The flashlight, the silver one.  There's only one, isn't there?",3,2,3.0,2.5,2.5
Ses01F_script02_1,Ses01F_script02_1_F004,neu,,Neutral,Neutral,That's not your flashlight.,4,2,2.0,3.0,3.0
Ses01F_script02_1,Ses01F_script02_1_M008,neu,,Neutral,Neutral,Whose is it?,5,2,3.0,2.0,2.0
Ses01F_script02_1,Ses01F_script02_1_M009,neu,,Neutral,Neutral,"Oh...well. Yeah, of course.",6,2,2.5,2.0,2.0
Ses01F_script02_1,Ses01F_script02_1_F006,ang,,Anger,Frustration,You keep saying my flashlight like it's just yours.,7,3,2.0,3.5,3.0
Ses01F_script02_1,Ses01F_script02_1_M010,neu,,Neutral,Surprise,No.,8,2,3.0,3.5,1.5
Ses01F_script02_1,Ses01F_script02_1_F007,ang,,Anger,Anger,How's that supposed to make me feel?,9,3,2.0,3.5,2.5
Ses01F_script02_1,Ses01F_script02_1_M011,neu,,Neutral,Neutral,"Of course, our flashlight.  What's yours is mine.  Me flashlight es su flashlight.",10,2,2.5,2.0,2.0
Ses01F_script02_1,Ses01F_script02_1_M012,fru,,Neutral,Frustration,"Naturally.  God, how could we not think to bring it?  I hope the moon stays out, though.",11,5,3.5,3.0,2.5
Ses01F_script02_1,Ses01F_script02_1_M013,neu,,Neutral,Neutral,Do they always run during a full moon?  I don't remember.  Was it full last year?,12,2,3.0,3.0,2.0
Ses01F_script02_1,Ses01F_script02_1_F008,neu,,Frustration,Neutral,Yeah.,13,2,2.5,1.5,3.0
Ses01F_script02_1,Ses01F_script02_1_F008,neu,,Frustration,Neutral,Yeah.,33,5,2.5,1.5,3.0
Ses01F_script02_1,Ses01F_script02_1_M014,neu,,Neutral,Neutral,"Huh.  Are you cold?  Do you want my jacket?  No?  you know, we should have brought the blanket?  Our blanket.",14,2,3.5,3.0,2.0
Ses01F_script02_1,Ses01F_script02_1_M015,neu,,Neutral,Neutral,"Aw.  Do you know, I should have brought a six pack, too.  A six pack, that would be just the ticket right about now.  Huh?",15,2,3.5,3.0,2.5
Ses01F_script02_1,Ses01F_script02_1_M016,exc,,Excited,Excited,"God, I'm so excited, I'm like a kid.  I can't believe I got out of the house with my fly zipped up.",16,4,4.0,4.0,2.5
