vid,utt_index,predicted,actual,text,utter_id_x,emotion,C-E1,C-E2,C-E4,sentence,utter_id_y,label,expected_label,is_correct
Ses05F_impro08,2,3,5,"All I want to do is put my, pay for my freaking credit card, and there's something wrong in my bill, Like I swear, it says I didn't paid last month, but I know I paid last month.",Ses05F_impro08_M001,fru,Frustration,Frustration,,"All I want to do is put my, pay for my freaking credit card, and there's something wrong in my bill, Like I swear, it says I didn't paid last month, but I know I paid last month.",2,5,,False
Ses05F_impro08,6,5,3,"This is ridiculous.  I- I seriously, I don't understand why you think these automated systems are supposed to like work for anybody.  They have never, ever work for me.",Ses05F_impro08_M004,ang,Frustration,Anger,,"This is ridiculous.  I- I seriously, I don't understand why you think these automated systems are supposed to like work for anybody.  They have never, ever work for me.",6,3,,False
Ses05F_impro08,11,2,5,Sir-,Ses05F_impro08_F006,fru,Frustration,Neutral,,Sir-,11,5,,False
Ses05F_impro08,14,5,3,"Like I know I paid last month, but it hasn't been paid and you charged me a late fee.",Ses05F_impro08_M007,ang,Frustration,Anger,,"Like I know I paid last month, but it hasn't been paid and you charged me a late fee.",14,3,,False
Ses05F_impro08,18,3,5,yeah,Ses05F_impro08_M009,fru,Frustration,Neutral,,yeah,18,5,,False
Ses05F_impro08,25,2,5,Okay.,Ses05F_impro08_F001,neu,Excited,Neutral,,Okay.,25,5,,False
Ses05F_impro08,29,2,5,It was one ninety eight sixty three. I paid the minimum.,Ses05F_impro08_M014,fru,Frustration,Neutral,,It was one ninety eight sixty three. I paid the minimum.,29,5,,False
Ses05F_impro08,40,2,5,Because I paid it on time.,Ses05F_impro08_M021,fru,Frustration,Neutral,,Because I paid it on time.,40,5,,False
Ses05F_impro08,46,2,0,"That would be wonderful, that would be great seriously.",Ses05F_impro08_M025,hap,Excited,Happiness,,"That would be wonderful, that would be great seriously.",46,0,,False
Ses05F_impro08,48,2,0,"thank you, what's the number?",Ses05F_impro08_M026,hap,Excited,Happiness,,"thank you, what's the number?",48,0,,False
Ses05F_impro08,52,4,0,"six four nine four. That would be so great, thank you so much.",Ses05F_impro08_M028,hap,Excited,Happiness,,"six four nine four. That would be so great, thank you so much.",52,0,,False
Ses05F_impro08,53,0,2,You're welcome,Ses05F_impro08_F029,neu,Excited,Neutral,,You're welcome,53,2,,False
Ses05F_impro08,55,2,0,"It was horrible, but you've made it much better, thank you very much. Absolutely",Ses05F_impro08_M030,hap,Excited,Happiness,,"It was horrible, but you've made it much better, thank you very much. Absolutely",55,0,,False
Ses05F_impro08,57,2,0,"You too, thank you so much, have a wonderful day.",Ses05F_impro08_M031,hap,Excited,Happiness,,"You too, thank you so much, have a wonderful day.",57,0,,False
Ses05F_impro01,5,5,1,"Well, I have no camera here.  I can't help you at all here, ma'am.  I have forms for something completely different.  You need to go to a different place.",Ses05F_impro01_M003,neu,Frustration,Neutral,Neutral,"Well, I have no camera here.  I can't help you at all here, ma'am.  I have forms for something completely different.  You need to go to a different place.",5,2,,False
Ses05F_impro01,9,5,1,There is a large line of people behind you waiting to be--,Ses05F_impro01_M005,fru,Frustration,Frustration,Other,There is a large line of people behind you waiting to be--,9,5,,False
Ses05F_impro01,10,5,1,I know.  I've been in line with these people.  I understand.  I understand what it's like.  Could you please like call over and-,Ses05F_impro01_F006,fru,Anger,Frustration,Frustration,I know.  I've been in line with these people.  I understand.  I understand what it's like.  Could you please like call over and-,10,5,,False
Ses05F_impro01,11,1,5,"I don't want to be rude here, ma'am, but line two B is where you need to be.  This is the line for registration.",Ses05F_impro01_M006,fru,Frustration,Frustration,Other,"I don't want to be rude here, ma'am, but line two B is where you need to be.  This is the line for registration.",11,5,,False
Ses05F_impro01,12,5,1,"I hear that.  I hear that.  Thank you, but I've waited in line for so long, and I don't want to have to be here all day.",Ses05F_impro01_F007,fru,Frustration,Neutral,Frustration,"I hear that.  I hear that.  Thank you, but I've waited in line for so long, and I don't want to have to be here all day.",12,5,,False
Ses05F_impro01,14,1,2,"So could I maybe get the form from you, fill it out here- and maybe you could-",Ses05F_impro01_F008,neu,Frustration,Neutral,Neutral,"So could I maybe get the form from you, fill it out here- and maybe you could-",14,2,,False
Ses05F_impro01,17,5,1,"Ma'am, obviously I have no idea how long it's taking.  There seems to be a bit of a line there.  It looks like thirty forty people.  It could take four to five hours.  I'm sorry.",Ses05F_impro01_M009,fru,Frustration,Frustration,Other,"Ma'am, obviously I have no idea how long it's taking.  There seems to be a bit of a line there.  It looks like thirty forty people.  It could take four to five hours.  I'm sorry.",17,5,,False
Ses05F_impro01,18,5,1,I don't-,Ses05F_impro01_F010,fru,Frustration,Frustration,Frustration,I don't-,18,5,,False
Ses05F_impro01,19,5,1,"There's nothing I can do for you, ma'am.",Ses05F_impro01_M010,fru,Frustration,Frustration,Frustration,"There's nothing I can do for you, ma'am.",19,5,,False
Ses05F_impro01,20,5,1,"I don't have time for this today, and-",Ses05F_impro01_F011,fru,Frustration,Frustration,Frustration,"I don't have time for this today, and-",20,5,,False
Ses05F_impro01,21,5,1,"But, obviously I don't have time for you to stand here and waste my time in this line.  There are other people who need service behind you who are waiting for the right things.",Ses05F_impro01_M011,fru,Frustration,Frustration,Frustration,"But, obviously I don't have time for you to stand here and waste my time in this line.  There are other people who need service behind you who are waiting for the right things.",21,5,,False
Ses05F_impro01,22,5,1,"Is there anything you can do?  Please, have some compassion.  Is there something you can do?",Ses05F_impro01_F012,fru,Frustration,Neutral,Frustration,"Is there anything you can do?  Please, have some compassion.  Is there something you can do?",22,5,,False
