vid,utt_index,character,pred,true,text,all_prob,id,is_correct
Ses05F_impro08,6,,3,3,"This is ridiculous.  I- I seriously, I don't understand why you think these automated systems are supposed to like work for anybody.  They have never, ever work for me.","[2.516449049139169e-09, 5.216787712924997e-08, 1.1656829883577302e-05, 0.7976786494255066, 3.0890469133737497e-06, 0.2023065686225891]",Ses05F_impro08_6,True
Ses05M_impro02,5,,1,1,I know.,"[4.508845813688822e-05, 0.7504885792732239, 0.0009777043014764786, 6.474824476754293e-05, 8.755539056437556e-06, 0.24841509759426117]",Ses05M_impro02_5,True
Ses05M_impro02,8,,5,5,There's got to be something we can do.  You can't just go.,"[6.5544172684894875e-06, 0.34505578875541687, 0.02074243687093258, 0.01610489934682846, 0.00022705976152792573, 0.6178632378578186]",Ses05M_impro02_8,True
Ses05M_impro02,9,,1,1,I don't have -- I know.  What are we gonna- What are we- just run away?  What can I do?  Where can we go?,"[6.028021743986756e-06, 0.7258853912353516, 0.0020457077771425247, 0.05023835971951485, 4.8883423005463555e-05, 0.2217755913734436]",Ses05M_impro02_9,True
Ses05F_impro01,0,,2,2,"Hi, I need an ID.","[0.00016817044524941593, 0.029446430504322052, 0.7629680037498474, 0.002795324893668294, 0.0007884714868851006, 0.20383362472057343]",Ses05F_impro01_0,True
Ses05F_impro01,38,,3,3,"Right, well, last time they told me, it was this line, and obviously, it's not true.","[1.2563838254209259e-06, 1.1132265171909239e-05, 0.0009696451015770435, 0.8594022393226624, 6.5420249484304804e-06, 0.1396092027425766]",Ses05F_impro01_38,True
Ses05F_script01_2,5,,5,5,"Well, so what.","[5.5928347137523815e-05, 0.0015014095697551966, 0.432689368724823, 0.010598482564091682, 0.004232182167470455, 0.5509225726127625]",Ses05F_script01_2_5,True
Ses05F_script01_2,10,,5,5,How do you know why she's waited?,"[1.6669129763613455e-05, 0.0004799521411769092, 0.37701061367988586, 0.21582117676734924, 0.0002145573089364916, 0.4064570367336273]",Ses05F_script01_2_10,True
Ses05F_script01_2,15,,3,3,I want you to pretend like he's coming back!,"[5.704441718989983e-06, 0.00019739329582080245, 0.00044278771383687854, 0.7689784169197083, 0.00012163587962277234, 0.23025405406951904]",Ses05F_script01_2_15,True
Ses05F_impro05,7,,2,2,So you haven't seen your bags since Africa. You flew threw Heath Row to here.,"[9.832834621192887e-06, 3.991358607891016e-05, 0.9689235687255859, 2.746262362052221e-05, 3.688969627546612e-06, 0.030995560809969902]",Ses05F_impro05_7,True
Ses05F_impro05,15,,2,2,"Well, I can't leave without it. I mean, Could you find out?","[0.0003789554175455123, 0.0016356298001483083, 0.84038907289505, 3.6553170502884313e-05, 8.792665175860748e-05, 0.1574719101190567]",Ses05F_impro05_15,True
Ses05F_impro05,18,,2,2,"Well, as I told you, it left Heath Row and it seems to have arrived here.  But if you can't find it, then-are you sure you know what your bag looks like?","[1.6470110040245345e-06, 2.0442927052499726e-05, 0.9491685032844543, 4.125142822886119e-06, 4.629715022019809e-06, 0.05080070346593857]",Ses05F_impro05_18,True
Ses05F_impro05,20,,2,2,"Okay, and what is that?  What kind of bag is it?","[0.00012381788110360503, 3.5026605473831296e-05, 0.7925841808319092, 4.818395973416045e-05, 4.220058326609433e-05, 0.2071666121482849]",Ses05F_impro05_20,True
Ses05F_impro05,21,,2,2,Um- It's a travel backpack.  It's green and gray.  It's got my name on it and my information.,"[5.875389251741581e-05, 0.002990992274135351, 0.919236958026886, 0.0002577205596026033, 6.806606688769534e-05, 0.07738751173019409]",Ses05F_impro05_21,True
Ses05F_impro05,44,,3,3,"Yeah, meaning I didn't die in a fiery plane crash.  How convenient, but um- I paid two thousand dollar to ride your airline, and I would really appreciate getting my bags there to my destination in one place.","[5.246312184681301e-07, 0.00015658742631785572, 0.0012205064995214343, 0.5711511373519897, 2.3377640900434926e-05, 0.4274478256702423]",Ses05F_impro05_44,True
Ses05F_impro05,50,,5,5,"Right, and also if you'll read the fine print of your agreement you'll see that while we do bear some responsibility for lost luggage, it is a fifty dollar voucher.","[5.148855962033849e-06, 0.00035386995295993984, 0.3473200500011444, 0.002821708098053932, 0.0001464264641981572, 0.6493528485298157]",Ses05F_impro05_50,True
Ses05F_impro05,62,,2,2,"I'm sorry, ma'am, there's nothing else I can do.  My hands are really tied here.  I really wish there was something else I could do for you.","[0.0019011234398931265, 0.004462704993784428, 0.7210330963134766, 6.092471812735312e-05, 7.549575821030885e-05, 0.27246665954589844]",Ses05F_impro05_62,True
Ses05F_impro05,81,,3,3,"No, I don't think I am.  I like have a whole bunch of stuff that means a lot to me, and I brought it you know from Africa.  It's not like I can just go back and get it whenever I want.","[8.144249932229286e-07, 6.130024303274695e-06, 0.0010481503559276462, 0.7621839046478271, 9.580575351719745e-06, 0.23675142228603363]",Ses05F_impro05_81,True
Ses05M_script01_2,6,,5,5,"Well, so what?","[9.816339115786832e-06, 0.002639117417857051, 0.42390361428260803, 0.022999132052063942, 0.0018987614894285798, 0.5485495328903198]",Ses05M_script01_2_6,True
Ses05M_script01_2,9,,5,5,How do you know why she's waited?,"[1.8084265320794657e-05, 0.0003277816576883197, 0.026256602257490158, 0.43539857864379883, 0.00022018195886630565, 0.5377787947654724]",Ses05M_script01_2_9,True
Ses05M_script01_2,19,,3,3,You above all have got to believe.,"[8.613982345195836e-07, 0.0021141075994819403, 0.0002988471824210137, 0.617275059223175, 8.184691978385672e-06, 0.38030296564102173]",Ses05M_script01_2_19,True
