vid,utt_index,character,pred,true,text,all_prob,id,is_correct
Ses05F_impro08,4,,5,5,"I put- I've been typing my number in millions of times, it won't listen to me, it's not working, and I can't get a single human being, and finally-","[1.1075881189981374e-07, 2.977755571009766e-07, 0.00022100152273196727, 0.0564894862473011, 0.00010265575110679492, 0.943186342716217]",Ses05F_impro08_4,True
Ses05F_impro08,43,,5,5,"Yeah, but if I call back, I'll have to go through this whole rigmarole again. and try to get a hole or someone.","[8.880763743945863e-06, 6.419781857402995e-05, 0.002528012963011861, 0.04278544336557388, 0.0016615749336779118, 0.9529519081115723]",Ses05F_impro08_43,True
Ses05M_impro02,7,,1,1,"tell them about me and show them pictures of me and everything like that, because they are not going to see me for such a long time.  And it's such an important time and I just don't want to miss it.","[1.6181849787244573e-05, 0.7530878186225891, 0.0005714322905987501, 0.002609941177070141, 6.319682142930105e-05, 0.24365153908729553]",Ses05M_impro02_7,True
Ses05M_impro02,14,,1,1,I know.  But I'll-I'll send the pictures all the time and I'll write them emails and you can read them the emails that I send them.,"[8.290055575344013e-07, 0.9038257002830505, 0.00043222488602623343, 0.002154679037630558, 1.5268232118614833e-06, 0.09358512610197067]",Ses05M_impro02_14,True
Ses05M_impro02,15,,1,1,"I'm gonna be in Bagdad, just doing security.","[2.213633898406897e-08, 0.9826166033744812, 0.008416611701250076, 1.3918441254645586e-05, 2.720149439028319e-07, 0.008952570147812366]",Ses05M_impro02_15,True
Ses05M_impro02,16,,1,1,I just want to be honest with you.  I don't want you to .,"[5.621136978106733e-08, 0.7668891549110413, 0.0033728673588484526, 0.0008831314626149833, 4.907464699499542e-06, 0.22884996235370636]",Ses05M_impro02_16,True
Ses05F_impro05,22,,5,5,And you couldn't find it?,"[3.9140158492045884e-07, 1.5078533124324167e-06, 0.20512859523296356, 3.38905920216348e-05, 2.1671058902938967e-07, 0.7948353290557861]",Ses05F_impro05_22,True
Ses05F_impro05,48,,5,5,"Right. Yes, ma'am.","[4.971677844878286e-05, 2.5806206394918263e-05, 0.4860786497592926, 0.0012050173245370388, 3.4157162076553504e-07, 0.5126405358314514]",Ses05F_impro05_48,True
Ses05F_impro05,72,,5,5,"Well, you can take my stinking fifty dollar voucher and go home and wait and see if your luggage turns up. And if it does, then we'll deliver it to you.","[0.00016474240692332387, 8.997541954158805e-06, 0.08546019345521927, 0.03353657200932503, 3.5004889014089713e-06, 0.8808259963989258]",Ses05F_impro05_72,True
Ses05F_impro05,80,,5,5,"Well, it sounds to me like you're being ridiculous","[0.00040234028710983694, 3.916377681889571e-05, 0.1619196981191635, 0.0008072847267612815, 3.1233523145601794e-07, 0.8368312120437622]",Ses05F_impro05_80,True
Ses05M_script01_2,8,,5,5,Now listen.,"[6.09949097452045e-07, 0.00021197703608777374, 0.1184137836098671, 5.620497904601507e-05, 9.816016017794027e-07, 0.8813164830207825]",Ses05M_script01_2_8,True
Ses05F_impro04,37,,5,5,"I understand, but you know what, you've been negative for three years.","[1.2359776519588195e-05, 0.0005522675928659737, 0.09028302878141403, 0.0010455443989485502, 1.7049602547558607e-06, 0.9081050753593445]",Ses05F_impro04_37,True
Ses05F_impro04,70,,2,2,But um--,"[0.0010400621686130762, 0.07765393704175949, 0.6281198263168335, 0.0001391762198181823, 6.710078650939977e-06, 0.29304033517837524]",Ses05F_impro04_70,True
Ses05F_impro04,74,,2,2,"Bartending, catering.","[0.46111181378364563, 0.003270985558629036, 0.5068246126174927, 2.9791935958201066e-06, 3.18001038976945e-05, 0.028757859021425247]",Ses05F_impro04_74,True
Ses05F_script03_2,10,,5,5,I'm growing quite tired and bored of this conversation.,"[0.0005221861065365374, 3.9919828850543126e-05, 0.042586565017700195, 0.2972717583179474, 0.0003625164972618222, 0.659217119216919]",Ses05F_script03_2_10,True
Ses05F_script03_2,24,,3,3,They sting.,"[0.000128691375721246, 0.00024644931545481086, 0.015567018650472164, 0.730150580406189, 0.0004875552258454263, 0.2534196674823761]",Ses05F_script03_2_24,True
Ses05F_script02_2,0,,4,4,"Well, so?  What do you think?","[0.00010669809125829488, 1.3240546650195029e-05, 0.44890809059143066, 8.947093738242984e-05, 0.5474562644958496, 0.0034262726549059153]",Ses05F_script02_2_0,True
Ses05F_script02_2,34,,5,5,You want to get married again?,"[0.00027768657309934497, 0.00045938670518808067, 0.3888896405696869, 0.00046731127076782286, 0.0007857250748202205, 0.6091201901435852]",Ses05F_script02_2_34,True
Ses05F_script02_2,35,,5,5,What? What You want a divorce?,"[2.4394182673859177e-06, 6.151024081191281e-06, 0.010128997266292572, 0.020729467272758484, 0.0005162603920325637, 0.968616783618927]",Ses05F_script02_2_35,True
Ses05F_script02_2,44,,1,1,"No, I know me either.","[4.73977743240539e-05, 0.37837955355644226, 0.17304497957229614, 0.15712086856365204, 1.788736517482903e-05, 0.2913892865180969]",Ses05F_script02_2_44,True
Ses05F_script02_2,52,,0,0,Good.  So maybe we are on the wrong spot but we are with the right person.,"[0.8492783308029175, 0.07223055511713028, 0.06516189873218536, 0.001310457126237452, 6.73154863761738e-05, 0.011951476335525513]",Ses05F_script02_2_52,True
Ses05F_script02_2,55,,0,0,"Well, look what we have got here.","[0.9928326606750488, 4.9117894377559423e-05, 0.0002771256258711219, 0.00017476743960287422, 0.00661192461848259, 5.4432006436400115e-05]",Ses05F_script02_2_55,True
Ses05F_script02_2,57,,0,0,"Shh, If we're very quiet, the fish might come.","[0.6272773146629333, 0.0004590040189214051, 0.30494424700737, 0.001118091749958694, 0.020588040351867676, 0.045613303780555725]",Ses05F_script02_2_57,True
Ses05M_impro04,4,,2,2,Wow.,"[0.1781630963087082, 0.000783588970080018, 0.5550488233566284, 4.231412458466366e-05, 0.26031479239463806, 0.0056474278680980206]",Ses05M_impro04_4,True
Ses05M_impro04,13,,2,2,"You plan on being there forever? I mean, Like, what do you --","[0.0007606272120028734, 0.02111755684018135, 0.6128946542739868, 0.025952640920877457, 0.0035719661973416805, 0.3357025384902954]",Ses05M_impro04_13,True
Ses05M_impro04,32,,3,3,An abrasive vibe?,"[1.3257216778583825e-05, 0.0005230774986557662, 0.2670096755027771, 0.5146920680999756, 3.1661271350458264e-05, 0.21773022413253784]",Ses05M_impro04_32,True
Ses05M_impro04,34,,3,3,"Let me know that's -- that's fine.  You think I have an abrasive vibe, whatever.  You're entitled to your opinion, of course.  Maybe that's why I don't have a job.","[4.5493588913814165e-06, 9.38868379307678e-06, 0.06857909262180328, 0.8257659673690796, 6.642733751505148e-06, 0.10563429445028305]",Ses05M_impro04_34,True
Ses05M_impro04,64,,5,5,What else?  I can't -- uh.  I'm drawing a blank here.,"[0.01224146131426096, 0.0010352078825235367, 0.44739311933517456, 7.703278242843226e-06, 3.050759005418513e-05, 0.5392919778823853]",Ses05M_impro04_64,True
Ses05M_impro04,68,,5,5,"No, I just showed that for you [garbage].","[0.042967259883880615, 0.0013646124862134457, 0.03874588385224342, 0.002988041378557682, 0.0001406037772540003, 0.9137936234474182]",Ses05M_impro04_68,True
Ses05M_script03_2,9,,5,5,I'm getting very bored with this conversation.,"[0.0008737363386899233, 1.2318490007601213e-05, 0.0065770926885306835, 0.18219880759716034, 5.1547096518334e-05, 0.8102865219116211]",Ses05M_script03_2_9,True
Ses05M_impro03,35,,4,4,Of course.  We'll go out to dinner later this week.,"[0.1872326135635376, 0.00021544125047512352, 0.2890070378780365, 2.6167176656599622e-06, 0.5233411192893982, 0.0002011360920732841]",Ses05M_impro03_35,True
Ses05M_script01_3,2,,4,4,"So, you're not sorry I came?","[0.3143458962440491, 0.00016925518866628408, 0.06222866475582123, 2.5863810151349753e-05, 0.6232147812843323, 1.5556002836092375e-05]",Ses05M_script01_3_2,True
Ses05M_script01_3,6,,2,2,"Well, from her perspective, I mean, why else would I come here?","[0.035729456692934036, 0.3787557780742645, 0.582294225692749, 2.152292154278257e-06, 0.0022236087825149298, 0.000994791858829558]",Ses05M_script01_3_6,True
Ses05F_impro02,22,,5,5,You can't what?,"[0.0007335711270570755, 0.3485744297504425, 0.0004221766721457243, 0.03938465565443039, 4.486450507101836e-06, 0.6108807325363159]",Ses05F_impro02_22,True
Ses05F_script02_1,6,,5,5,"The flashlight, the silver one, there's only one, isn't there?","[2.5889901735354215e-05, 1.0130720511369873e-06, 0.14296358823776245, 5.906954356760252e-07, 0.036672431975603104, 0.8203365206718445]",Ses05F_script02_1_6,True
Ses05F_script02_1,7,,5,5,It's not your flashlight.,"[7.801229367032647e-05, 0.0020678790751844645, 0.06010707840323448, 0.009280269965529442, 2.7804466640191094e-07, 0.9284665584564209]",Ses05F_script02_1_7,True
Ses05F_script02_1,11,,5,5,"No, Of course, you are right.  Our flashlight.  Me flashlight is you flashlight naturally.  How can we not think to bring it?","[4.288545369490748e-06, 4.4069469140595174e-07, 0.3106392025947571, 3.969807949033566e-05, 0.0011227288050577044, 0.6881937384605408]",Ses05F_script02_1_11,True
Ses05F_script02_1,33,,2,2,Yes.,"[0.0003044172772206366, 0.030484778806567192, 0.682267963886261, 0.03937571495771408, 1.416120539943222e-06, 0.24756574630737305]",Ses05F_script02_1_33,True
Ses05F_impro03,53,,4,4,I know. I can't believe it.,"[0.12886647880077362, 2.7126870918436907e-06, 0.0003316980437375605, 7.973609172040597e-06, 0.8707849979400635, 6.268383458518656e-06]",Ses05F_impro03_53,True
Ses05F_impro03,55,,4,4,I am very excited,"[0.14694547653198242, 2.553593549237121e-05, 0.002188917249441147, 0.00010172941256314516, 0.8507126569747925, 2.5706634914968163e-05]",Ses05F_impro03_55,True
Ses05F_impro03,82,,0,0,"That'd be great, thanks.","[0.6449301242828369, 6.868506170576438e-05, 0.14474892616271973, 0.00033049131161533296, 0.20988914370536804, 3.2600783015368506e-05]",Ses05F_impro03_82,True
Ses05F_impro06,19,,1,1,yeah.,"[9.183213478536345e-07, 0.6824561953544617, 0.31596580147743225, 2.3984646759345196e-05, 2.6814782358997036e-06, 0.001550395623780787]",Ses05F_impro06_19,True
Ses05M_script02_2,30,,5,5,"Do you want to get married again?- What?  What, do you want a divorce?","[2.5779277734727657e-07, 2.8558584745042026e-05, 0.0036796904169023037, 0.007546794135123491, 0.000279632571619004, 0.9884650707244873]",Ses05M_script02_2_30,True
Ses05M_script02_2,33,,5,5,"A poodle, a backrub, a spa, a suicide pack?  What, Carla, what the hell do you want?","[1.1763963811972644e-05, 2.1461240976350382e-05, 0.0020212866365909576, 0.24087519943714142, 0.005646648816764355, 0.7514235973358154]",Ses05M_script02_2_33,True
Ses05F_script03_1,4,,4,4,Behave exquisitely.,"[0.4668719172477722, 5.750497166445712e-06, 0.0007622858393006027, 5.561071816373442e-07, 0.5323499441146851, 9.50502999330638e-06]",Ses05F_script03_1_4,True
Ses05F_script03_1,17,,2,2,"Well, what if one of us dies, does the other laugh then?","[0.17084060609340668, 0.0860271006822586, 0.6255587935447693, 0.000442481687059626, 0.11604155600070953, 0.0010894123697653413]",Ses05F_script03_1_17,True
Ses05M_script03_1,7,,4,4,"Oh, it sent shivers up my spine.","[0.38679343461990356, 0.0014211247907951474, 0.013875170610845089, 1.6594356566201895e-05, 0.5978821516036987, 1.1442708455433603e-05]",Ses05M_script03_1_7,True
Ses05M_script03_1,36,,4,4,"Oh, The worst one was in Cannes when your curling iron burnt a hole in my new dressing gown?","[0.06781695783138275, 0.003845293540507555, 0.1525496244430542, 0.0008041796390898526, 0.773251473903656, 0.001732435543090105]",Ses05M_script03_1_36,True
Ses05M_script02_1,25,,5,5,"I don't get it.  I mean, the first time we came you said it was the best night of your life. And last year I remember distinctly you were so excited about coming that you stubbed your toe toe pushing me out the door and you didn't even notice until you got in the car.","[0.0014091839548200369, 0.001241792575456202, 0.02548285759985447, 0.0001938559435075149, 0.14984753727912903, 0.8218247890472412]",Ses05M_script02_1_25,True
Ses05M_script01_1b,13,,5,5,So it's all right then?  I should just go ahead with it?,"[3.317597929708427e-08, 0.00016867389786057174, 0.006285934709012508, 0.0011870617745444179, 7.323844783968525e-07, 0.9923575520515442]",Ses05M_script01_1b_13,True
Ses05M_script01_1b,23,,5,5,"So what, I'm not fast with women?","[1.889873679772336e-08, 3.543606726452708e-05, 0.0007471606368198991, 0.3196167051792145, 2.7842418148793513e-06, 0.6795979142189026]",Ses05M_script01_1b_23,True
Ses05M_script01_1b,24,,5,5,Because it is.,"[1.6199571462038875e-07, 0.00010653316712705418, 0.008368677459657192, 0.07496041804552078, 3.7606612295348896e-06, 0.9165604710578918]",Ses05M_script01_1b_24,True
Ses05M_script01_1b,42,,5,5,"I don't understand you, do I?","[6.678048521280289e-06, 0.0014117854880169034, 3.808884503087029e-05, 0.2482336163520813, 1.1294717161547396e-08, 0.7503097653388977]",Ses05M_script01_1b_42,True
Ses05F_script01_3,6,,1,1,Well sort of embarrassed soon as I came.,"[0.40898391604423523, 0.5837337374687195, 0.0067558614537119865, 3.4572326512716245e-06, 0.000517446780577302, 5.58690362595371e-06]",Ses05F_script01_3_6,True
Ses05F_script01_1,39,,5,5,Because it is.,"[1.246449573955033e-05, 0.0029719227459281683, 0.3053539991378784, 0.03651686757802963, 2.2478800019598566e-05, 0.6551222205162048]",Ses05F_script01_1_39,True
Ses05F_script01_1,45,,3,3,What the hell is this?,"[2.4152157493517734e-05, 0.00023392392904497683, 0.00019836873980239034, 0.9911351203918457, 1.3306527080203523e-07, 0.008408302441239357]",Ses05F_script01_1_45,True
Ses05F_script01_1,48,,5,5,Wait a minute.  Tell me this.  Do you mean to say that you would leave the business?,"[0.00010744886822067201, 0.0024359954986721277, 0.003272297792136669, 0.07039038091897964, 2.7859442752742325e-07, 0.9237936735153198]",Ses05F_script01_1_48,True
Ses05F_script01_1,52,,5,5,"I don't understand you, do I?","[0.0002106132305925712, 0.1347593069076538, 0.0015624884981662035, 0.046270519495010376, 3.0369096748472657e-07, 0.8171967267990112]",Ses05F_script01_1_52,True
Ses05M_impro07,9,,0,0,Really? Are you doing the M.F.A. program?,"[0.9548293948173523, 5.483298537001247e-06, 0.00021450003259815276, 6.228765982996265e-07, 0.044573824852705, 0.0003762426786124706]",Ses05M_impro07_9,True
Ses05M_impro07,34,,2,2,"Yeah. I think it's really also if you- if you consider yourself like, us and them, kind of thing- If you think you're part of your community then --you going to like it more","[0.02750253863632679, 1.1909625754924491e-05, 0.9710121750831604, 1.3238964129413944e-06, 0.0014633905375376344, 8.675880053488072e-06]",Ses05M_impro07_34,True
